#epochs,encoder_embedding_dim,decoder_embedding_dim,enc_layers,dec_layers,enc_hidden_units,dec_hidden_units,dropout,weight_decay,learning_rate,Precision nivel1,Precision nivel2,Precision nivel3,Precision nivel4,Recall nivel1,Recall nivel2,Recall nivel3,Recall nivel4,Drugs that have at least one match,F1 nivel1
37,128,128,3,3,64,128,0.1,1e-05,0.001,0.379668049792531,0.7198830409356725,0.7988980716253444,0.6666666666666666,0.571576763485477,0.8431578947368421,0.856404958677686,0.7563492063492062,"[285, 242, 210, 160]",0.45626411218251817
47,64,128,4,2,128,64,0.1,0.0001,0.001,0.3990318118948825,0.6578616352201255,0.7457364341085271,0.6227106227106225,0.532503457814661,0.800377358490566,0.8286821705426357,0.7884615384615384,"[265, 215, 182, 144]",0.45620563498004374
28,128,128,4,2,64,64,0.0,1e-05,0.001,0.3800138312586446,0.6833930704898447,0.7858220211161389,0.6212914485165792,0.5573997233748271,0.7870967741935484,0.8521870286576168,0.7783595113438047,"[279, 221, 191, 150]",0.45192349390552206
29,128,128,2,2,64,128,0.2,1e-05,0.001,0.3734439834024895,0.7041666666666664,0.7895114942528734,0.6658456486042691,0.5618948824343015,0.82,0.8670977011494252,0.7865353037766831,"[280, 232, 203, 161]",0.4486850077848766
41,128,128,2,2,64,64,0.0,0.0001,0.001,0.3824343015214385,0.6809701492537309,0.7851681957186544,0.6666666666666665,0.5387275242047026,0.8044776119402984,0.8677370030581041,0.7944732297063903,"[268, 218, 193, 154]",0.4473218031309318
38,32,128,2,3,128,128,0.1,1e-05,0.001,0.3699861687413555,0.6227758007117435,0.7610062893081762,0.632216014897579,0.5612033195020747,0.7494661921708184,0.8349056603773585,0.7364990689013035,"[281, 212, 179, 134]",0.44596179121219454
36,128,64,4,3,128,128,0.1,1e-05,0.001,0.3692946058091286,0.6690734055354994,0.7955555555555555,0.7018900343642611,0.5560165975103735,0.7975932611311672,0.8496296296296297,0.8101374570446737,"[277, 225, 194, 158]",0.4438159388199393
37,32,128,4,2,128,128,0.0,0.0001,0.001,0.3699861687413557,0.6335784313725488,0.7588141025641023,0.6840077071290942,0.5529045643153527,0.7594362745098039,0.8181089743589745,0.8121387283236994,"[272, 208, 173, 142]",0.44331800960466666
51,128,128,3,2,128,64,0.2,0.0001,0.001,0.3900414937759336,0.632679738562091,0.7684729064039411,0.5936329588014979,0.5089903181189488,0.7913725490196079,0.8633004926108374,0.7518726591760299,"[255, 203, 178, 135]",0.44164698372167255
55,32,64,3,2,128,64,0.0,0.0001,0.001,0.3762102351313972,0.6011450381679387,0.7578125,0.5936213991769547,0.5255878284923928,0.7223918575063613,0.8307291666666666,0.7469135802469136,"[262, 192, 162, 122]",0.4385272679445733
47,32,64,4,3,128,128,0.1,1e-05,0.001,0.3644536652835409,0.6270136307311025,0.7679738562091503,0.6551724137931033,0.5373443983402489,0.7520446096654275,0.8345588235294118,0.7480842911877396,"[269, 204, 174, 131]",0.43432591706336077
38,64,128,3,3,128,128,0.2,1e-05,0.001,0.3658367911479943,0.6274875621890544,0.7975609756097559,0.6629629629629628,0.533195020746888,0.7578358208955224,0.8609756097560977,0.7888888888888889,"[268, 205, 180, 142]",0.43393871688477487
36,128,64,2,2,64,128,0.2,0.0001,0.001,0.3554633471645921,0.6437659033078881,0.7883333333333331,0.6448863636363636,0.5276625172890733,0.7580152671755725,0.8600000000000001,0.7784090909090909,"[262, 200, 176, 137]",0.4247745244895595
31,128,64,4,3,64,128,0.1,1e-05,0.001,0.3409405255878283,0.6647798742138364,0.8001700680272108,0.6162790697674417,0.5300829875518671,0.7350943396226416,0.8626700680272109,0.752906976744186,"[265, 196, 172, 130]",0.4149756456737918
30,64,64,3,2,64,64,0.0,1e-05,0.001,0.3416320885200554,0.6860776439089691,0.7721088435374148,0.5956607495069033,0.4972337482710927,0.7823293172690764,0.8422619047619048,0.7554240631163709,"[249, 196, 169, 128]",0.4050016020542783
50,32,128,3,3,128,128,0.2,1e-05,0.001,0.3312586445366531,0.6091030789825967,0.7605893186003683,0.6401273885350318,0.4982710926694329,0.7172690763052209,0.8517495395948436,0.7282377919320594,"[249, 181, 157, 115]",0.39795223574599164
51,32,128,4,3,128,64,0.0,1e-05,0.001,0.325726141078838,0.6286089238845144,0.7228163992869876,0.626126126126126,0.5062240663900415,0.7307086614173228,0.7789661319073083,0.75,"[254, 187, 148, 111]",0.3963949048540473
66,128,64,3,3,64,128,0.2,0.0001,0.001,0.3409405255878284,0.628368794326241,0.7454710144927535,0.6448801742919389,0.4709543568464729,0.7727659574468085,0.8134057971014493,0.7799564270152505,"[235, 184, 153, 120]",0.39553747517088783
47,64,128,4,3,64,128,0.0,0.0001,0.001,0.3195020746887965,0.6483660130718952,0.7430555555555555,0.6434599156118141,0.5121023513139696,0.7462745098039216,0.8051215277777777,0.7658227848101266,"[255, 192, 158, 121]",0.39349902088491284
66,128,128,3,3,128,64,0.0,0.0001,0.001,0.3188105117565697,0.6302294197031038,0.739010989010989,0.6588366890380313,0.4937759336099585,0.7311740890688259,0.804945054945055,0.7941834451901566,"[247, 182, 149, 120]",0.3874565198198993
28,32,128,2,3,128,128,0.0,1e-05,0.001,0.3181189488243431,0.6543715846994536,0.7315315315315316,0.6212121212121211,0.4913554633471645,0.7532786885245902,0.8243243243243243,0.7467532467532467,"[244, 185, 154, 115]",0.3861999370178483
72,32,64,2,3,128,64,0.2,1e-05,0.001,0.3125864453665284,0.682,0.7362542955326461,0.6278825995807128,0.4982710926694329,0.7684,0.7989690721649486,0.7421383647798742,"[250, 194, 159, 118]",0.3841680748598443
97,32,64,4,3,128,64,0.1,0.0001,0.001,0.3250345781466115,0.5702127659574469,0.7091295116772823,0.5833333333333335,0.469225449515906,0.6621276595744681,0.7929936305732485,0.7288359788359788,"[235, 157, 126, 93]",0.38404172620370197
54,64,64,4,3,128,64,0.2,1e-05,0.001,0.3153526970954356,0.6185636856368563,0.7666666666666666,0.6247165532879817,0.4889349930843706,0.7105691056910569,0.8204761904761906,0.7619047619047619,"[246, 175, 147, 112]",0.38341247952961827
57,32,64,4,3,64,64,0.2,1e-05,0.001,0.3063623789764866,0.6456639566395664,0.760989010989011,0.6622807017543858,0.4951590594744121,0.7341463414634146,0.8195970695970697,0.7445175438596492,"[246, 182, 152, 114]",0.378525389727635
30,128,128,2,2,64,64,0.2,1e-05,0.001,0.3153526970954358,0.6094632768361581,0.7640449438202247,0.658675799086758,0.469225449515906,0.746186440677966,0.8005617977528091,0.7671232876712328,"[236, 178, 146, 112]",0.3772001850669955
57,64,64,3,3,64,64,0.2,1e-05,0.001,0.280082987551867,0.6620553359683794,0.7550644567219154,0.6490066225165563,0.5058782849239281,0.7106719367588933,0.8209023941068141,0.7229580573951435,"[253, 181, 151, 110]",0.36054677588067
67,64,128,3,3,64,64,0.0,0.0001,0.001,0.2904564315352695,0.5464135021097046,0.7398373983739838,0.6781170483460559,0.4723374827109267,0.6827004219409283,0.7865853658536586,0.7366412213740458,"[237, 164, 131, 97]",0.359713042137061
87,64,64,2,3,128,64,0.0,0.0001,0.001,0.301521438450899,0.6095890410958905,0.7547169811320755,0.6033591731266149,0.4387966804979253,0.7187214611872146,0.80083857442348,0.7377260981912145,"[219, 159, 129, 98]",0.3574317658983567
93,64,128,4,3,64,64,0.2,0.0001,0.001,0.280774550484094,0.5672389127324751,0.6985596707818931,0.6414565826330533,0.4650760719225449,0.6896995708154506,0.7222222222222222,0.7310924369747899,"[233, 162, 119, 87]",0.35015463180445655
51,128,64,4,3,128,64,0.0,0.0001,0.001,0.2786998616874135,0.5966810966810967,0.7401315789473685,0.5013550135501356,0.4612724757952974,0.6510822510822512,0.8026315789473685,0.6124661246612466,"[231, 152, 123, 77]",0.3474631920476725
54,128,128,2,3,128,128,0.2,0.0001,0.001,0.2869986168741356,0.5330330330330332,0.7033096926713949,0.4647435897435897,0.4381051175656985,0.627027027027027,0.7257683215130023,0.6121794871794871,"[222, 141, 104, 64]",0.34680710308014284
95,128,64,3,3,128,64,0.1,0.0001,0.001,0.2745504840940525,0.6136023916292975,0.64873417721519,0.5678466076696166,0.4457123098201936,0.6968609865470853,0.7046413502109704,0.668141592920354,"[223, 158, 113, 76]",0.3397941180962398
40,32,128,4,3,64,64,0.0,1e-05,0.001,0.2627939142461962,0.6785216178521617,0.7790055248618785,0.6589403973509934,0.4782157676348548,0.7493723849372385,0.8186003683241253,0.739514348785872,"[239, 181, 151, 113]",0.3391917717242085
67,64,128,4,3,64,64,0.1,0.0001,0.001,0.2503457814661133,0.6009389671361502,0.7222222222222222,0.4764011799410029,0.4266943291839557,0.6394366197183098,0.8031400966183575,0.6017699115044248,"[213, 138, 113, 68]",0.3155533139215361
86,64,64,2,3,64,64,0.2,0.0001,0.001,0.230982019363762,0.5817152103559871,0.6730279898218829,0.5952380952380952,0.4142461964038728,0.6315533980582524,0.7302798982188294,0.6768707482993198,"[206, 131, 98, 67]",0.2965878447993429
50,32,128,3,3,128,128,0.1,0.0001,0.001,0.215076071922545,0.5087719298245614,0.529320987654321,0.5080645161290323,0.382088520055325,0.5663157894736842,0.5416666666666667,0.6290322580645161,"[190, 108, 62, 39]",0.2752276311226546
58,128,128,4,3,64,64,0.2,0.0001,0.001,0.2185338865836791,0.4979674796747967,0.5902777777777778,0.6005291005291006,0.3236514522821577,0.5841463414634146,0.6510416666666666,0.746031746031746,"[164, 96, 63, 47]",0.26090270132949445
91,128,64,4,3,128,64,0.2,0.0001,0.001,0.1728907330567081,0.3827519379844961,0.4420289855072464,0.4032258064516129,0.344744121715076,0.3936046511627907,0.4492753623188406,0.5483870967741935,"[172, 69, 31, 17]",0.23028999446564857
70,32,64,4,3,128,64,0.2,0.0001,0.001,0.1694329183955739,0.4789156626506024,0.5375,0.4565217391304347,0.3326417704011065,0.4740963855421687,0.5583333333333333,0.6086956521739131,"[166, 80, 46, 28]",0.22451028580790927
