learning_rate,batch_size,kernel_initializer,Precision nivel1,Precision nivel2,Precision nivel3,Precision nivel4,Recall nivel1,Recall nivel2,Recall nivel3,Recall nivel4,Drugs that have at least one match,F1 nivel1
0.005,64,glorot_uniform,0.3222683264177041,0.5120689655172412,0.4747191011235955,0.3804713804713804,0.588347164591978,0.603448275862069,0.5468164794007491,0.4444444444444444,"[290, 178, 99, 45]",0.4164340667550587
0.005,32,he_uniform,0.3063623789764871,0.4054545454545455,0.5955882352941176,0.274822695035461,0.557399723374827,0.4860606060606061,0.6715686274509803,0.3191489361702128,"[275, 136, 94, 30]",0.3954012449240169
0.005,16,glorot_uniform,0.3035961272475793,0.4295597484276729,0.4716049382716049,0.268018018018018,0.5364799446749653,0.4968553459119496,0.5407407407407407,0.3581081081081081,"[265, 135, 74, 27]",0.3877582971184353
0.001,64,glorot_uniform,0.2959889349930844,0.4510869565217391,0.4689655172413793,0.2983539094650205,0.5613762102351314,0.5144927536231884,0.5551724137931034,0.3641975308641975,"[276, 145, 81, 30]",0.3876088211020548
0.005,64,he_uniform,0.3042876901798063,0.4577020202020202,0.5261437908496732,0.2956989247311828,0.5312932226832643,0.567550505050505,0.6013071895424836,0.3602150537634409,"[264, 153, 93, 34]",0.38695471629321115
0.005,16,he_uniform,0.3001383125864455,0.4176245210727969,0.4567901234567901,0.2422222222222222,0.5257607192254495,0.5108556832694763,0.5444444444444444,0.3066666666666666,"[261, 135, 75, 23]",0.382131299382617
0.001,16,glorot_uniform,0.2897648686030429,0.4630325814536341,0.540268456375839,0.3967391304347827,0.5416666666666667,0.5413533834586466,0.6006711409395973,0.4728260869565217,"[266, 149, 92, 44]",0.3775559714424343
0.001,16,he_uniform,0.2897648686030428,0.4467680608365018,0.5147058823529412,0.2857142857142857,0.5344052558782849,0.5088719898605829,0.6066176470588235,0.3452380952380952,"[263, 136, 84, 29]",0.37577646689826105
0.001,32,he_uniform,0.2883817427385893,0.4800249687890138,0.6078431372549019,0.4068627450980392,0.5338865836791149,0.5671036204744071,0.6601307189542484,0.4705882352941176,"[267, 153, 102, 48]",0.374483945154232
0.005,32,glorot_uniform,0.2863070539419086,0.4469413233458177,0.5845410628019324,0.264367816091954,0.5371715076071921,0.511860174781523,0.6195652173913043,0.3793103448275862,"[267, 138, 87, 33]",0.3735276156193618
0.001,32,glorot_uniform,0.2869986168741352,0.4467418546365915,0.5481481481481482,0.297752808988764,0.530774550484094,0.5046992481203008,0.645679012345679,0.3651685393258427,"[266, 135, 89, 33]",0.3725521157731905
0.0001,16,glorot_uniform,0.2752420470262791,0.4185463659147869,0.5351562499999999,0.2371794871794871,0.5350968188105116,0.4705513784461153,0.6015625,0.3076923076923077,"[266, 128, 78, 24]",0.36350507170741797
0.001,64,he_uniform,0.2814661134163209,0.4616402116402116,0.4917840375586854,0.3041666666666667,0.5098547717842323,0.5529100529100528,0.545774647887324,0.4,"[252, 142, 80, 32]",0.36270201811873726
0.0001,16,he_uniform,0.2738589211618253,0.4578392621870883,0.4489051094890511,0.2162162162162162,0.5086445366528354,0.5355731225296443,0.5291970802919708,0.2702702702702703,"[253, 137, 74, 20]",0.35602869909769796
0.0001,32,glorot_uniform,0.2641770401106498,0.4358465608465608,0.4809160305343511,0.2629107981220657,0.5096818810511756,0.5033068783068784,0.5381679389312977,0.3169014084507042,"[252, 131, 71, 23]",0.3479865568571027
0.0001,32,he_uniform,0.2434301521438448,0.3845598845598845,0.5825396825396826,0.3587962962962963,0.465594744121715,0.4473304473304473,0.680952380952381,0.4027777777777778,"[231, 105, 72, 30]",0.3197061203235183
0.0001,64,he_uniform,0.2365145228215765,0.3390557939914163,0.4842105263157895,0.2371794871794872,0.4669778699861687,0.4034334763948498,0.5368421052631579,0.3076923076923077,"[233, 95, 52, 16]",0.31399642474371015
0.0001,64,glorot_uniform,0.221991701244813,0.3530701754385965,0.4130434782608695,0.2555555555555555,0.4605809128630705,0.4035087719298245,0.483695652173913,0.2777777777777778,"[228, 92, 45, 13]",0.2995875846586535
